identifiant;nom;prenom;role;groupe;matiere;age;telephone
mcdowell.ero@craftnote.local;McDowell;Ero;administrateur;Groupe 4;;;
gabriel.kurosawa@craftnote.local;Kurosawa;Gabriel;administrateur;Groupe 5;;;
raven.dessendre@craftnote.local;Dessendre;Raven;cpe;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;;;
casse.pied.a.pas.avoir.de.prenom@craftnote.local;casse.pied.a.pas.avoir.de.prenom;casse.pied.a.pas.avoir.de.prenom;direction;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;;;
edgar.leroux@craftnote.local;LeRoux;Edgar;eleve;Groupe 1;;;
maddy.mousline@craftnote.local;Mousline;Maddy;eleve;Groupe 1;;;
tyler.andrew@craftnote.local;Andrew;Tyler;eleve;Groupe 1;;;
hugo.chevalier@craftnote.local;Chevalier;Hugo;eleve;Groupe 1;;;
angelica.jones@craftnote.local;Jones;Angelica;eleve;Groupe 2;;;
bingus.dubois@craftnote.local;Dubois;Bingus;eleve;Groupe 2;;;
capucine.caprisun@craftnote.local;Caprisun;Capucine;eleve;Groupe 2;;;
nolan.varren@craftnote.local;Varren;Nolan;eleve;Groupe 2;;;
eden.woods@craftnote.local;Woods;Eden;eleve;Groupe 3;;;
dingus.dubois@craftnote.local;Dubois;Dingus;eleve;Groupe 3;;;
evelyne.moonvine@craftnote.local;Moonvine;Evelyne;eleve;Groupe 3;;;
riju.alabasta@craftnote.local;Alabasta;Riju;eleve;Groupe 3;;;
min.eimi@craftnote.local;Min;Eimi;eleve;Groupe 4;;;
sam.valmont-russo@craftnote.local;Valmont-Russo;Sam;eleve;Groupe 4;;;
ada.strife@craftnote.local;Strife;Ada;eleve;Groupe 4;;;
jake.strife@craftnote.local;Strife;Jake;eleve;Groupe 5;;;
rin.hakamiya@craftnote.local;Hakamiya;Rin;eleve;Groupe 5;;;
sucre.coton@craftnote.local;Coton;Sucre;eleve;Groupe 5;;;
eimi.dumas-de-la-roque@craftnote.local;Dumas-de-la-Roque;Eimi;eleve;Groupe 6;;;
mauvine.vale@craftnote.local;Vale;Mauvine;eleve;Groupe 6;;;
nate.dorian@craftnote.local;Dorian;Nate;eleve;Groupe 6;;;
theo.valmont@craftnote.local;Valmont;Théo;eleve;Groupe 6;;;
albert.chauvin@craftnote.local;Chauvin;Albert;eleve;Groupe 7;;;
blanche.pommier@craftnote.local;Pommier;Blanche;eleve;Groupe 7;;;
jad.mortimer@craftnote.local;Mortimer;Jad;eleve;Groupe 7;;;
olivia.minz@craftnote.local;Minz;Olivia;eleve;Groupe 7;;;
evan.stainberg@craftnote.local;Stainberg;Evan;eleve;Groupe 8;;;
freya.calypso@craftnote.local;Calypso;Freya;eleve;Groupe 8;;;
isaac.mcmillan@craftnote.local;McMillan;Isaac;eleve;Groupe 8;;;
moon.andersons@craftnote.local;Andersons;Moon;eleve;Groupe 8;;;
amy.dumas-de-la-roque@craftnote.local;Dumas-de-la-Roque;Amy;eleve;Groupe 9;;;
isaac.top-inambour@craftnote.local;Top-Inambour;Isaac;eleve;Groupe 9;;;
tingus.dubois@craftnote.local;Dubois;Tingus;eleve;Groupe 9;;;
freak.wtf@craftnote.local;wtf;Freak;eleve;Groupe 9;;;
rose.thorns@craftnote.local;Thorns;Rose;eleve;;;;
elena.elena@craftnote.local;Elena;Elena;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Criminologie;;
elias.nerulis@craftnote.local;Nérulis;Elias;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Math;;
gaetan.burritosse@craftnote.local;Burritosse;Gaëtan;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Sport;;
karina.knave@craftnote.local;Knave;Karina;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;SVT;;
mark.polochon@craftnote.local;Polochon;Mark;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Histoire;;
valentina.ashcroft@craftnote.local;Ashcroft;Valentina;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Fausse identité;;
Nicole@craftnote.local;Nicole;Nicole;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Théâtre;;
Valmont@craftnote.local;Valmont;Charles;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Économie;;
agapios.duplanty@craftnote.local;Duplanty;Agapios;professeur;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Technologie;;
benjamin.danger@craftnote.local;Danger;Benjamin;surveillant;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;;;
flora.cristofeuille@craftnote.local;Cristofeuille;Flora;surveillant;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;Documentaliste;;
samantha.castana@craftnote.local;Castaña;Samantha;surveillant;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;;;
simon.beryl@craftnote.local;Béryl;Simon;surveillant;Groupe 1|Groupe 2|Groupe 3|Groupe 4|Groupe 5|Groupe 6|Groupe 7|Groupe 8|Groupe 9;;;
